feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,label
3,47,21,7,39,13,20,0
16,41,8,9,7,48,5,0
27,35,8,24,43,30,37,1
28,20,49,15,8,19,4,0
36,26,4,12,24,8,26,0
36,41,9,21,15,40,18,1
45,3,24,11,22,28,21,0
19,7,41,38,18,48,7,1
32,16,36,43,31,28,5,1
31,47,33,32,48,1,4,1
25,47,3,21,4,28,21,0
15,41,16,18,45,11,15,0
49,48,8,12,46,6,6,0
40,7,39,30,38,27,4,1
10,26,20,24,36,12,10,0
20,18,7,31,25,3,23,0
37,20,9,26,13,9,13,0
18,28,45,36,18,36,34,1
44,22,30,46,31,22,5,1
11,32,42,47,7,22,39,1
22,15,15,12,42,9,47,0
40,20,33,43,34,30,15,1
28,15,48,16,4,6,43,0
48,25,20,1,45,37,12,1
24,39,19,42,36,29,26,1
18,30,15,47,20,22,26,1
39,1,14,22,48,49,29,1
36,13,4,30,33,39,19,0
32,23,11,49,10,17,41,1
19,39,4,1,45,24,8,0
24,14,18,19,31,48,26,1
33,44,17,10,8,3,35,0
48,10,37,34,27,13,17,1
3,13,43,29,29,41,30,1
47,37,28,21,29,27,20,1
17,43,26,29,12,4,14,0
9,21,6,9,42,38,4,0
21,31,41,3,23,25,43,1
47,25,20,23,4,38,49,1
20,5,12,15,20,21,47,0
4,44,14,49,1,38,5,0
12,17,37,12,35,30,38,1
30,10,26,33,11,31,27,0
39,21,44,42,24,20,35,1
18,22,36,40,17,1,39,0
14,13,3,21,27,38,4,0
11,30,5,18,36,39,8,0
47,17,16,30,13,36,27,1
34,18,3,12,43,4,48,0
5,14,44,10,10,32,20,0
4,30,27,11,22,34,13,0
6,2,20,3,19,42,49,0
38,27,35,41,29,21,15,1
27,6,12,28,19,9,5,0
47,27,24,21,42,17,31,1
15,28,16,13,39,3,44,0
37,45,45,42,25,42,22,1
12,11,28,9,19,5,21,0
12,44,23,7,3,12,18,0
7,18,35,46,7,18,31,0
24,34,37,33,12,32,11,1
34,14,2,6,23,4,8,0
25,8,32,46,34,41,3,1
12,16,28,43,18,8,13,0
27,20,13,9,13,42,16,0
24,28,19,38,1,3,16,0
10,26,20,43,43,43,30,1
35,5,38,23,40,31,44,1
44,9,42,17,23,36,49,1
49,22,3,30,48,10,23,1
45,31,31,1,24,33,27,1
27,42,31,30,39,35,22,1
38,35,49,15,30,33,28,1
43,26,26,32,41,46,29,1
6,6,35,24,5,10,49,0
43,36,11,2,18,6,31,0
38,16,10,41,34,42,38,1
17,36,29,34,2,9,31,0
13,19,12,14,18,39,8,0
35,35,4,24,44,36,15,1
17,34,23,30,47,4,16,0
7,22,1,38,25,11,17,0
49,26,28,27,6,28,3,0
12,41,39,42,8,26,1,0
9,14,6,25,18,21,16,0
17,9,44,27,13,32,33,0
45,26,40,27,47,7,18,1
18,37,47,33,20,3,26,1
49,35,11,35,28,14,8,1
7,2,16,40,2,13,1,0
30,19,32,6,31,11,27,0
22,40,8,14,44,47,14,1
31,38,4,35,38,33,41,1
7,20,32,32,40,22,21,0
23,1,49,10,34,13,30,0
41,22,8,25,43,37,22,1
36,39,7,16,15,15,37,0
5,24,1,10,19,49,41,0
10,37,28,16,31,20,26,0
7,47,4,8,24,2,2,0
4,42,11,25,20,33,33,0
28,23,5,34,48,7,8,0
49,31,32,34,22,21,1,1
38,19,22,44,13,12,4,0
11,9,3,12,47,32,32,0
8,40,4,49,35,3,8,0
7,3,19,28,25,11,12,0
5,37,43,5,16,4,45,0
12,28,16,31,39,12,11,0
6,36,48,42,38,45,26,1
22,13,43,42,33,7,38,1
38,19,22,6,27,18,19,0
7,21,6,3,6,11,25,0
16,40,1,44,43,7,43,1
13,45,13,26,39,4,4,0
27,1,20,29,8,45,39,0
49,42,43,9,48,14,35,1
25,10,7,33,39,12,8,0
47,36,29,42,30,26,41,1
26,27,22,44,34,37,23,1
4,7,45,40,7,3,13,0
33,46,37,7,12,16,7,0
13,32,41,17,16,30,30,1
20,38,12,6,24,33,37,0
33,48,22,3,12,37,1,0
33,10,17,7,6,3,9,0
46,39,41,18,46,15,17,1
41,35,9,13,33,14,33,1
16,21,26,35,31,42,15,1
19,16,26,25,16,3,27,0
46,11,17,24,3,25,3,0
47,33,2,12,22,11,13,0
28,32,28,49,12,36,11,1
28,14,14,42,8,3,8,0
32,13,49,25,18,33,45,1
17,2,7,24,26,23,10,0
2,40,1,13,24,10,35,0
9,20,44,16,41,28,39,1
29,31,30,33,49,9,22,1
8,5,9,11,18,3,42,0
28,11,10,40,29,9,46,0
17,34,40,34,1,16,16,0
3,11,35,39,9,40,47,1
6,2,45,29,15,41,2,0
42,43,20,44,47,36,15,1
45,19,29,7,21,42,47,1
32,6,27,23,20,47,18,0
21,39,33,47,33,16,47,1
30,42,15,2,8,26,45,0
47,9,23,30,29,28,12,1
3,47,18,45,45,33,43,1
7,39,15,37,16,41,36,1
19,24,29,27,30,17,12,0
23,1,9,20,27,26,40,0
8,39,10,20,18,46,3,0
39,32,8,24,34,40,3,1
40,2,44,26,30,1,17,0
40,17,3,44,35,43,39,1
30,44,47,44,3,8,8,1
3,49,12,28,22,37,36,1
28,26,35,14,31,23,21,1
11,1,43,25,3,25,32,0
27,27,13,31,43,3,30,0
46,38,27,18,15,48,12,1
27,24,31,13,33,45,31,1
24,49,13,16,30,37,8,1
48,7,27,29,7,43,37,1
23,38,22,20,9,49,25,1
16,31,18,14,42,11,39,0
13,47,16,32,39,27,44,1
18,24,31,41,3,44,11,0
29,45,7,28,39,4,45,1
1,34,1,6,22,37,41,0
7,38,41,33,47,25,38,1
49,29,49,10,1,29,1,0
47,39,6,39,40,49,16,1
41,17,16,33,44,49,1,1
3,17,21,23,30,11,37,0
28,10,47,43,24,25,11,1
2,26,43,41,18,16,17,0
12,18,19,4,8,40,45,0
35,31,45,19,18,15,34,1
26,8,12,47,22,9,46,0
9,3,31,22,31,35,21,0
37,34,14,35,19,24,5,0
9,28,2,34,49,48,20,1
31,37,1,48,46,4,11,1
21,4,17,8,10,26,8,0
15,30,4,15,48,34,33,1
6,2,5,23,16,37,14,0
46,9,29,44,45,21,17,1
45,33,10,5,17,38,29,1
9,38,21,16,14,9,23,0
27,5,8,10,24,47,14,0
42,20,43,49,42,11,23,1
19,24,23,49,9,36,48,1
49,36,22,31,16,47,36,1
9,23,4,10,33,25,30,0
14,24,34,33,47,22,24,1
31,40,30,39,13,18,2,0
13,5,28,26,24,24,10,0
41,42,37,32,49,2,32,1
38,43,24,29,7,20,41,1
10,25,40,42,6,8,30,0
13,26,20,40,20,21,22,0
24,5,10,4,2,26,36,0
14,4,7,28,23,35,42,0
6,7,23,21,29,40,17,0
45,4,40,42,22,13,28,1
31,20,32,3,38,43,12,1
39,3,10,43,37,19,6,0
17,25,29,15,38,15,7,0
34,2,7,24,20,40,25,0
4,48,2,8,36,15,44,0
46,3,4,2,31,5,43,0
32,22,39,38,49,10,29,1
34,8,25,38,12,42,47,1
48,28,27,32,17,17,45,1
32,22,4,18,35,12,14,0
6,17,45,47,26,3,28,0
18,24,7,45,41,2,17,0
30,42,49,49,18,25,48,1
36,9,37,35,49,1,35,1
20,39,42,47,47,36,31,1
29,2,42,17,32,18,42,1
39,10,46,15,42,35,29,1
3,25,21,37,2,11,21,0
4,45,37,24,34,15,15,0
12,32,49,18,2,3,31,0
30,42,42,24,30,28,4,1
44,45,12,31,33,19,45,1
14,11,38,37,34,45,25,1
33,27,19,2,49,2,30,0
38,11,18,21,49,9,3,0
21,42,29,27,36,44,7,1
18,13,45,16,45,15,45,1
48,8,11,6,21,4,31,0
4,41,25,46,26,16,15,0
14,42,40,4,46,9,41,1
28,48,37,22,25,20,18,1
34,34,19,6,18,46,25,1
8,1,21,22,17,35,40,0
48,24,22,40,5,28,19,1
11,48,36,25,14,3,19,0
31,21,14,18,5,46,25,0
14,3,37,46,32,16,14,0
17,24,9,16,41,22,22,0
44,8,21,43,47,36,37,1
14,40,34,39,16,30,6,1
3,26,13,27,44,28,32,0
14,26,13,17,24,30,37,0
5,41,23,32,27,46,45,1
10,47,25,18,34,35,3,0
2,23,27,29,20,41,9,0
43,34,35,1,41,10,22,1
48,9,39,25,19,2,34,1
34,1,8,23,25,42,17,0
19,3,14,39,1,3,47,0
4,34,27,23,6,27,30,0
1,42,35,36,13,9,45,1
7,19,45,2,26,26,47,0
46,41,18,47,8,25,31,1
11,4,21,4,16,21,44,0
5,10,29,43,9,12,14,0
32,15,2,26,18,20,10,0
40,23,36,48,30,45,13,1
30,20,22,42,3,25,27,0
3,48,11,8,15,2,15,0
20,11,40,2,44,8,26,0
24,48,42,4,19,11,15,0
44,44,24,3,41,23,34,1
2,31,15,15,28,29,11,0
34,15,14,12,43,6,30,0
28,31,2,43,3,12,21,0
4,27,24,41,8,23,31,0
17,36,13,16,21,18,43,0
2,10,13,12,16,33,33,0
29,17,32,43,39,28,14,1
32,45,38,16,3,25,12,0
1,45,4,48,47,42,1,1
37,43,33,48,41,18,46,1
30,32,19,15,16,17,30,0
41,8,13,16,15,11,6,0
17,14,2,13,16,27,25,0
19,8,19,40,18,30,19,0
12,49,39,16,26,7,10,0
37,28,39,20,10,35,33,1
22,40,23,12,21,8,14,0
33,41,9,20,37,10,17,0
24,25,39,42,25,43,27,1
46,18,37,41,43,26,2,1
49,33,27,1,7,24,29,0
44,36,15,9,23,18,22,0
13,2,17,16,5,20,42,0
8,25,1,38,35,4,45,0
20,19,37,27,27,9,31,0
49,4,11,10,33,49,4,0
21,13,29,38,43,44,17,1
26,36,10,36,37,23,2,0
14,17,12,9,34,5,27,0
1,14,36,32,27,1,3,0
26,46,26,29,6,3,42,1
11,47,44,1,14,47,43,1
9,23,17,39,17,18,44,0
23,24,38,39,13,10,13,0
48,35,27,9,11,10,38,1
30,1,7,19,38,42,40,1
38,27,41,29,2,25,31,1
12,35,7,34,8,33,45,0
27,20,10,20,32,36,43,1
28,12,37,36,9,30,24,1
5,43,6,17,40,35,12,0
6,13,45,38,19,2,21,0
27,26,3,29,48,8,43,1
16,28,48,25,35,45,40,1
8,16,25,1,24,20,41,0
39,36,36,35,8,34,47,1
39,24,35,46,40,40,39,1
41,28,18,19,41,38,26,1
18,47,38,39,35,33,9,1
48,10,19,17,31,13,28,0
7,25,16,34,21,38,37,1
7,43,36,41,36,15,11,1
25,1,29,42,43,30,19,1
4,40,35,43,26,1,19,0
27,10,37,28,38,31,5,1
26,6,7,9,8,35,15,0
48,20,25,7,14,29,24,0
1,2,19,12,3,9,12,0
45,26,12,15,16,16,32,0
28,29,20,20,7,5,46,0
39,2,32,19,28,16,34,0
16,23,10,4,47,11,9,0
33,8,32,44,34,39,27,1
20,36,20,27,40,36,36,1
34,9,44,22,25,36,16,1
42,16,4,33,49,41,42,1
46,16,48,31,14,37,21,1
19,1,48,14,22,11,35,0
9,19,40,20,41,20,42,1
15,10,33,44,20,12,37,0
41,24,3,49,20,15,9,0
42,38,17,40,11,16,12,1
10,16,4,19,20,15,3,0
24,22,31,29,37,42,12,1
3,35,10,15,39,2,27,0
6,23,49,2,14,6,37,0
38,48,46,36,48,47,6,1
33,42,33,26,30,47,39,1
27,29,26,40,35,10,12,1
35,22,49,36,26,41,6,1
26,45,11,13,23,12,29,0
5,27,23,29,34,38,36,1
45,39,31,45,28,1,37,1
35,40,30,49,16,45,47,1
49,47,49,4,27,32,39,1
29,4,46,27,33,42,6,1
1,46,23,19,13,16,22,0
36,12,20,36,26,8,6,0
19,17,44,30,14,1,22,0
23,1,48,38,9,1,8,0
29,49,18,36,49,31,10,1
6,3,35,12,45,3,1,0
19,37,22,11,49,5,39,1
25,25,25,45,11,30,4,0
12,33,3,28,14,20,15,0
3,7,18,38,10,47,44,0
41,12,44,24,8,43,8,1
38,49,23,2,27,34,8,1
9,3,32,40,45,41,37,1
8,13,35,19,2,19,29,0
15,18,21,35,5,12,6,0
3,11,32,20,34,2,22,0
6,15,30,31,12,32,43,0
23,39,28,49,48,23,40,1
16,1,4,40,26,3,29,0
23,5,11,21,18,27,45,0
42,37,17,37,32,3,3,0
37,49,22,21,2,2,21,0
27,38,14,18,3,26,33,0
37,39,9,44,26,49,17,1
24,35,6,15,39,18,18,0
28,11,35,44,18,49,16,1
44,1,38,28,24,16,3,0
37,14,49,24,42,25,31,1
44,26,42,22,24,20,25,1
44,27,35,38,25,2,4,0
49,12,29,6,36,37,27,1
37,40,24,32,8,48,41,1
5,19,44,3,30,44,49,1
2,17,13,36,1,1,27,0
1,13,9,40,33,28,43,0
8,46,27,12,4,35,40,0
40,11,15,29,20,29,36,1
29,24,12,22,12,6,35,0
17,46,6,6,31,5,31,0
9,25,28,20,41,7,26,0
18,23,10,43,24,17,18,0
38,1,17,28,29,31,48,1
32,15,28,24,40,30,22,1
42,35,2,28,41,33,27,1
24,11,25,43,39,28,17,1
46,33,30,48,24,30,34,1
31,36,21,16,27,37,29,1
4,44,1,30,39,13,38,0
26,17,15,4,33,3,18,0
16,11,20,48,32,7,14,0
34,3,49,40,16,6,43,1
39,47,39,21,2,46,11,1
26,1,38,48,30,33,49,1
36,40,32,36,22,48,20,1
13,9,12,31,43,29,43,1
1,10,30,20,26,27,39,0
49,43,24,17,19,32,42,1
40,25,1,44,26,34,24,1
34,41,47,49,43,39,4,1
23,49,30,25,25,14,42,1
38,31,27,40,14,5,44,1
47,49,29,42,45,15,41,1
12,49,5,9,45,16,15,0
31,5,40,11,19,16,6,0
36,1,44,9,31,36,39,1
48,6,1,2,11,39,48,0
15,31,26,27,15,6,23,0
29,16,34,12,45,28,2,0
10,39,30,45,2,13,33,0
18,1,48,47,33,17,13,1
12,13,11,10,1,18,28,0
42,34,5,30,5,8,22,0
36,2,6,34,47,39,49,1
14,15,34,34,31,28,7,0
48,45,17,16,37,23,49,1
3,17,27,46,24,4,14,0
7,49,46,6,26,41,7,1
46,22,44,7,31,37,2,1
38,8,31,28,40,39,48,1
31,20,39,12,11,4,4,0
26,42,26,27,12,33,16,1
7,21,23,2,20,19,35,0
24,40,14,41,1,13,28,0
48,48,27,16,27,1,1,0
49,48,18,45,1,45,11,1
2,39,1,27,49,47,6,0
30,26,29,16,18,22,4,0
48,36,4,28,18,17,17,0
32,17,12,15,1,12,35,0
36,5,48,11,25,20,30,0
1,25,7,37,40,2,44,0
21,21,36,25,3,48,12,0
41,17,42,2,42,15,14,0
32,23,20,40,27,9,31,1
25,13,12,1,44,34,3,0
34,17,10,41,42,28,29,1
32,9,33,34,29,12,43,1
39,31,3,49,9,30,13,0
17,32,7,5,36,1,43,0
22,43,35,12,11,10,12,0
40,23,46,22,43,31,25,1
5,7,31,47,22,9,18,0
3,5,16,5,29,28,29,0
9,16,49,3,28,25,37,0
13,41,33,34,9,39,37,1
24,10,25,9,30,1,9,0
10,49,7,39,21,6,20,0
7,14,16,46,22,28,33,0
10,42,10,35,26,25,14,0
34,9,38,33,1,20,15,0
21,11,22,5,6,30,8,0
1,35,31,41,35,25,46,1
11,40,5,33,14,41,23,0
2,48,15,18,17,5,47,0
44,48,30,36,15,19,40,1
21,5,18,22,30,28,44,0
43,9,14,4,38,30,25,0
15,22,8,18,40,18,27,0
29,26,30,17,2,27,37,0
3,21,3,30,17,18,48,0
5,29,26,45,38,31,15,1
40,48,16,38,11,48,30,1
39,13,4,34,3,24,2,0
6,37,16,23,8,11,41,0
25,39,47,46,31,34,44,1
10,15,17,30,33,26,6,0
29,33,9,32,40,16,30,1
3,28,40,48,33,13,39,1
24,18,22,43,12,13,8,0
3,35,3,36,39,17,13,0
3,30,45,40,18,12,4,0
18,32,30,3,23,20,47,0
5,10,9,38,3,39,23,0
15,16,15,44,46,19,2,0
19,42,39,25,8,45,40,1
43,6,7,46,16,27,24,0
21,28,8,45,43,14,42,1
7,36,37,28,7,49,43,1
19,26,17,12,38,25,38,0
8,13,5,30,2,45,49,0
38,13,2,47,23,43,7,0
5,21,2,33,42,26,39,0
2,37,48,30,25,45,40,1
49,5,8,40,48,17,14,1
13,3,26,12,39,22,28,0
20,27,43,25,42,37,47,1
37,3,16,40,17,48,46,1
46,38,12,41,1,5,12,0
17,40,16,16,22,49,44,1
24,32,48,37,44,9,46,1
22,33,4,38,47,42,40,1
3,30,47,8,7,49,22,0
24,16,49,15,21,31,31,1
21,30,17,15,31,27,19,0
46,13,16,38,20,34,9,1
25,14,4,39,24,1,8,0
43,3,39,18,48,25,48,1
19,49,33,18,7,33,48,1
10,24,17,13,17,20,31,0
40,2,3,26,23,40,21,0
49,8,7,47,15,34,42,1
9,46,47,7,21,21,39,1
29,17,7,18,16,41,34,0
46,17,23,7,15,38,47,1
24,13,17,24,8,40,20,0
20,8,11,12,26,10,2,0
17,10,44,48,11,22,36,1
12,6,1,13,27,19,1,0
18,20,45,6,41,33,36,1
36,11,20,44,16,19,15,0
8,37,21,42,36,25,9,1
1,46,27,46,32,3,29,1
17,15,4,13,4,26,17,0
11,1,44,35,31,34,42,1
2,40,29,12,3,38,16,0
32,44,22,47,7,24,31,1
8,20,39,43,41,43,48,1
8,45,21,8,33,17,2,0
25,11,7,37,25,8,40,0
26,38,15,45,28,13,36,1
30,9,13,7,24,18,17,0
34,36,43,33,3,40,28,1
16,47,49,48,38,8,32,1
13,49,10,36,38,28,2,1
29,45,39,12,16,5,15,0
31,42,4,23,17,20,23,0
24,7,43,23,20,1,36,0
46,41,29,27,6,49,46,1
5,7,23,9,26,13,30,0
38,16,38,19,30,31,47,1
17,36,26,18,22,28,48,1
22,7,27,18,39,33,43,1
17,15,35,16,47,2,14,0
17,7,4,4,17,1,11,0
23,7,13,18,15,14,38,0
22,20,31,13,40,14,20,0
8,14,5,40,48,2,33,0
12,22,4,24,42,35,5,0
10,43,22,43,4,13,49,1
27,26,21,25,6,47,46,1
32,41,47,7,8,16,42,1
18,29,8,37,3,3,8,0
49,49,19,48,40,40,44,1
4,43,32,19,43,16,41,1
45,19,21,2,6,21,31,0
14,27,22,31,17,22,30,0
34,35,18,10,49,10,44,1
42,48,46,46,16,45,21,1
14,36,29,48,47,18,28,1
3,41,47,40,31,3,41,1
23,9,37,5,4,16,22,0
36,15,26,18,33,26,2,0
32,3,41,1,47,40,42,1
29,29,48,34,43,32,35,1
12,21,9,23,41,18,6,0
23,35,14,5,38,29,16,0
43,28,23,24,4,29,11,0
43,27,30,27,30,42,7,1
31,41,3,45,39,41,4,1
19,35,29,3,49,14,31,1
30,11,22,23,6,39,20,0
45,15,25,3,43,6,43,1
35,15,19,16,48,29,48,1
29,45,14,10,22,31,37,1
43,14,32,28,1,37,39,1
16,8,48,32,12,16,42,0
44,34,24,46,30,18,16,1
7,39,32,2,36,9,16,0
10,20,30,9,8,14,17,0
2,22,49,21,13,27,6,0
3,12,24,2,11,21,30,0
47,19,38,5,20,29,25,1
31,22,16,48,29,46,8,1
35,18,48,16,32,15,41,1
31,24,6,8,4,35,40,0
1,10,20,28,41,22,26,0
16,30,7,3,29,12,35,0
39,35,49,42,39,1,36,1
21,4,20,26,13,10,43,0
12,4,32,14,47,15,17,0
7,9,4,23,7,36,38,0
18,5,1,1,26,29,19,0
28,24,46,48,26,4,15,1
35,3,40,2,47,34,40,1
34,41,48,26,9,45,11,1
21,2,8,37,9,44,37,0
35,6,1,33,24,30,12,0
39,7,30,12,11,23,6,0
28,38,48,5,34,37,14,1
39,23,33,44,37,32,12,1
40,36,7,18,49,38,37,1
41,47,8,9,3,32,35,0
40,7,43,47,6,5,47,1
41,30,38,20,26,30,27,1
48,48,46,18,27,11,17,1
10,34,21,41,45,41,3,1
34,48,16,21,21,16,25,1
2,34,38,10,17,34,38,0
44,6,43,31,43,15,28,1
1,8,21,43,39,29,14,0
11,17,10,15,49,12,3,0
49,33,22,11,12,21,13,0
21,42,18,13,48,17,44,1
27,10,1,11,12,49,7,0
30,19,23,2,24,23,41,0
33,25,31,14,4,30,30,0
2,42,8,2,42,13,1,0
39,37,41,6,11,10,26,0
19,3,2,15,26,25,39,0
40,38,28,13,40,46,35,1
6,26,9,15,4,10,13,0
43,15,16,14,37,25,19,0
9,31,11,3,32,14,14,0
13,27,5,29,34,9,20,0
3,28,23,30,1,40,3,0
27,19,18,20,15,18,46,0
14,40,22,2,20,16,3,0
9,17,35,13,7,16,49,0
12,10,11,15,24,45,24,0
49,46,44,47,38,8,47,1
10,12,17,38,13,19,38,0
47,9,15,18,25,34,31,1
19,9,6,8,16,27,32,0
19,7,7,37,43,16,40,0
21,21,33,26,44,19,24,1
19,37,15,22,36,22,28,1
12,11,40,31,33,7,26,0
21,26,17,39,14,39,37,1
33,9,34,11,34,24,22,0
7,22,13,38,19,29,9,0
42,6,46,40,35,20,17,1
31,49,39,33,41,44,26,1
31,19,43,1,34,12,8,0
15,4,9,14,26,25,19,0
28,48,44,42,9,49,48,1
4,43,16,4,9,25,20,0
48,23,9,26,15,21,19,0
28,32,11,5,43,3,12,0
19,17,47,3,1,39,36,0
17,41,29,29,9,25,6,0
45,28,11,13,34,25,6,0
46,10,20,9,40,46,1,0
15,20,19,12,40,45,34,1
7,48,49,31,27,46,28,1
46,47,22,36,45,18,5,1
13,26,5,12,47,14,5,0
38,6,44,30,39,4,6,0
1,40,45,44,31,13,18,1
24,3,30,21,34,33,7,0
35,35,23,30,26,6,43,1
7,2,14,42,42,37,43,1
2,40,36,12,37,19,39,1
42,1,44,21,10,41,14,0
29,19,35,37,22,49,34,1
39,26,40,26,44,18,11,1
30,17,1,34,7,48,46,1
11,35,48,29,3,38,36,1
25,22,17,9,35,36,23,0
14,44,34,6,10,40,23,0
29,14,26,44,28,10,48,1
37,37,18,41,15,14,17,1
4,45,17,22,48,15,7,0
19,33,12,9,10,35,24,0
17,40,40,11,26,5,18,0
9,46,18,36,2,38,13,0
3,14,36,7,15,15,2,0
36,14,26,4,17,19,32,0
1,40,34,8,17,26,46,0
42,8,49,21,2,44,2,0
40,18,35,23,40,8,21,1
10,13,47,10,23,22,30,0
2,34,16,19,27,31,46,0
17,46,47,11,49,31,36,1
48,32,32,25,34,35,35,1
3,25,30,11,13,29,23,0
42,46,23,24,48,27,10,1
30,28,2,12,15,11,22,0
46,19,1,23,34,48,37,1
21,21,17,30,44,37,21,1
38,33,23,10,16,28,21,0
41,13,38,17,23,33,43,1
31,31,47,38,30,16,15,1
37,32,3,19,11,20,24,0
4,15,15,47,48,49,6,1
43,9,21,8,18,23,13,0
14,37,28,44,40,4,8,0
13,14,26,9,42,23,13,0
16,6,34,19,38,32,39,1
30,4,1,15,28,46,26,0
37,14,34,33,32,45,11,1
1,20,28,35,21,12,16,0
4,33,36,14,44,34,20,1
47,8,18,6,38,11,15,0
42,11,10,47,41,47,35,1
1,39,29,18,34,31,11,0
11,19,6,8,2,28,10,0
15,14,40,14,11,11,8,0
34,22,20,3,12,11,30,0
48,26,16,31,15,46,43,1
23,16,25,1,29,11,43,0
18,19,42,24,29,40,34,1
12,34,37,7,29,10,5,0
31,46,38,19,23,30,32,1
33,15,47,21,6,11,45,1
21,36,1,30,49,1,32,0
33,8,29,16,37,33,17,0
41,24,21,30,8,49,33,1
6,12,48,12,37,26,3,0
34,26,19,40,36,30,36,1
23,39,7,11,14,35,30,0
44,21,17,33,3,44,21,1
43,28,11,20,7,45,7,0
8,14,11,2,4,1,25,0
47,35,24,45,20,41,9,1
27,17,2,25,22,14,16,0
20,40,31,46,21,9,43,1
24,35,31,15,40,14,15,0
46,31,45,41,26,27,16,1
9,38,36,49,27,48,20,1
46,32,30,11,3,44,27,1
32,46,22,43,10,24,29,1
40,33,30,4,32,41,1,1
45,5,45,15,22,26,27,1
26,42,13,44,4,31,27,1
33,23,16,13,12,39,20,0
20,42,31,47,22,6,30,1
41,29,10,33,3,21,27,0
10,49,19,43,41,40,42,1
46,25,29,4,11,48,22,1
11,40,31,7,7,26,9,0
25,26,40,27,45,24,32,1
44,24,16,7,4,17,18,0
29,6,34,1,8,29,30,0
49,36,41,46,31,41,8,1
22,38,42,44,44,32,41,1
49,44,37,6,9,49,17,1
42,4,46,24,16,30,37,1
21,36,32,8,38,1,41,1
32,26,5,18,6,19,8,0
21,39,25,40,45,16,10,1
15,26,14,38,10,4,30,0
1,7,35,37,13,29,9,0
10,26,14,35,44,18,40,1
30,21,30,18,19,17,4,0
14,29,39,38,28,45,13,1
36,48,4,49,21,31,41,1
5,49,6,27,19,15,45,0
46,43,9,43,38,12,38,1
6,15,33,43,10,8,33,0
4,23,37,24,30,20,14,0
48,20,4,45,17,40,13,1
47,26,37,26,41,47,10,1
27,40,13,25,11,31,36,1
26,28,17,11,49,28,47,1
49,18,49,3,10,9,49,1
19,10,31,21,35,36,39,1
22,23,17,27,21,38,38,1
32,33,35,44,4,37,49,1
24,20,6,39,15,24,14,0
38,11,42,9,34,17,24,0
38,46,34,30,33,34,3,1
4,5,47,8,44,34,49,1
41,28,49,25,23,40,12,1
44,45,3,25,20,49,28,1
47,28,7,37,48,17,4,1
23,29,17,22,1,17,14,0
25,4,1,19,7,22,43,0
33,30,6,34,20,27,28,1
25,15,48,20,25,41,1,0
23,45,27,32,42,43,20,1
45,37,25,37,31,45,10,1
40,8,48,19,5,30,2,0
45,41,43,40,39,45,33,1
29,19,11,29,9,19,8,0
16,10,25,8,35,8,15,0
41,27,43,37,19,42,48,1
21,48,9,5,32,36,6,0
25,12,4,47,4,8,47,0
11,18,38,37,32,24,7,0
23,26,31,48,23,16,41,1
12,6,32,24,29,11,20,0
22,23,46,42,38,43,46,1
43,45,14,34,1,29,9,0
5,15,2,35,9,10,46,0
29,31,27,30,38,22,37,1
27,27,25,16,17,20,16,0
44,11,19,24,18,19,13,0
9,21,12,23,24,32,23,0
42,6,46,29,10,36,17,1
23,11,33,6,14,27,16,0
40,26,15,14,34,28,31,1
4,47,36,13,23,38,14,0
2,46,22,15,48,19,43,1
1,24,11,1,12,49,46,0
14,20,38,3,31,46,33,1
20,30,10,48,18,16,14,0
20,38,35,17,37,49,5,1
17,48,22,10,9,26,20,0
18,22,16,22,37,13,47,0
13,24,26,13,32,48,26,1
41,33,35,3,13,25,19,0
46,27,39,39,26,9,31,1
19,32,39,28,32,12,24,1
5,26,47,24,37,38,22,1
23,37,30,21,28,3,36,1
26,45,40,16,39,14,1,1
37,24,48,12,39,47,38,1
13,25,44,4,32,1,9,0
27,37,46,18,15,36,15,1
5,42,15,49,26,37,27,1
8,17,27,25,12,46,34,0
23,30,23,29,20,15,21,0
4,8,16,26,38,49,27,0
41,34,48,10,2,3,38,1
13,39,35,28,14,1,8,0
34,44,3,22,4,21,31,0
12,37,32,31,34,43,21,1
18,28,16,44,16,49,43,1
15,25,19,28,5,42,14,0
2,2,11,9,12,14,36,0
9,25,27,6,28,32,7,0
34,3,35,47,13,1,24,0
41,7,41,21,7,25,27,0
17,21,1,36,31,41,33,1
18,10,44,15,40,15,20,0
30,7,49,5,30,49,2,0
16,48,13,16,27,38,36,1
23,41,25,33,7,25,31,1
33,5,31,34,22,34,25,1
44,33,16,43,17,27,20,1
7,5,25,21,38,36,3,0
29,7,43,3,4,17,6,0
29,46,43,11,42,3,12,1
5,7,23,21,47,40,16,0
43,38,45,48,46,41,17,1
29,33,35,10,9,15,23,0
29,33,13,32,36,27,39,1
33,40,29,2,36,30,15,1
26,4,33,9,41,32,33,1
39,10,27,28,26,6,7,0
41,11,30,16,39,39,31,1
36,23,48,6,32,22,15,1
43,3,37,42,7,20,25,1
32,6,17,19,7,41,8,0
49,47,17,36,38,20,14,1
8,30,24,38,35,46,20,1
46,37,25,47,25,23,21,1
28,11,28,13,10,31,33,0
22,49,27,8,33,40,12,1
22,16,45,36,2,8,1,0
20,23,17,17,16,8,28,0
8,25,4,20,23,48,48,1
18,30,32,49,47,19,20,1
37,31,38,26,7,20,43,1
25,6,48,29,24,46,36,1
